,id,app_or_website,customer_collects,customer_segmentation,is_a_repeat_order,lead_time,n_customer_notes,n_items_above_quantity_10,n_listed_addresses,n_listed_payment_methods,n_previous_cancelled_orders,n_previous_completed_orders,n_small_items,payment_type,slot_date,store_number,total_price,predicted_status
0,TID27662,app,0.0,group_1,0.0,307.94124386264355,0.0,0.0,1.0,2.0,0.0,0.0,2.0,debit,2019-11-02 00:00:00,id_52,33.61475808547042,Not_Canceled
1,TID15406,app,0.0,group_1,0.0,92.98160663293665,0.0,1.0,1.0,3.0,0.0,0.0,1.0,debit,2019-11-17 00:00:00,id_1,55.40095755884308,Canceled
2,TID22875,website,,group_1,0.0,26.147605224205133,1.0,1.0,1.0,1.0,0.0,0.0,1.0,debit,2019-10-15 00:00:00,id_69,85.46256761351596,Not_Canceled
3,TID05951,app,,group_1,0.0,67.41100786881239,0.0,2.0,1.0,2.0,0.0,0.0,2.0,debit,2019-11-09 00:00:00,id_79,46.157735510055225,Canceled
4,TID07762,website,0.0,group_1,0.0,258.4651823361919,2.0,1.0,1.0,2.0,0.0,0.0,4.0,debit,2019-12-05 00:00:00,id_7,79.28207323845967,Not_Canceled
5,TID15381,website,0.0,group_1,0.0,50.83907149726135,0.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-09-13 00:00:00,id_66,56.632021091181485,Not_Canceled
6,TID09635,app,0.0,group_1,0.0,238.64854807792324,0.0,0.0,1.0,1.0,0.0,0.0,3.0,debit,2019-09-20 00:00:00,id_77,48.80522502076072,Canceled
7,TID15879,website,0.0,group_1,0.0,6.627032111789248,1.0,2.0,1.0,2.0,0.0,0.0,1.0,credit,2019-10-06 00:00:00,id_89,84.4827193636679,Canceled
8,TID19663,website,0.0,group_4,0.0,1.4265885737417712,2.0,0.0,1.0,3.0,0.0,0.0,1.0,debit,2019-11-13 00:00:00,id_6,85.8319202060643,Not_Canceled
9,TID36234,app,0.0,group_1,0.0,38.98862076400775,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-12-04 00:00:00,id_93,40.78410635535322,Not_Canceled
10,TID12663,app,0.0,group_1,0.0,105.663891347979,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-09-19 00:00:00,id_62,46.157735510055225,Not_Canceled
11,TID35047,website,0.0,group_4,0.0,7.092845965618627,0.0,0.0,1.0,2.0,0.0,0.0,4.0,debit,2019-11-14 00:00:00,id_74,59.1115307017795,Not_Canceled
12,TID16350,website,0.0,group_4,0.0,142.66214842831417,1.0,2.0,1.0,2.0,0.0,0.0,0.0,debit,2019-11-11 00:00:00,id_31,53.35103960283868,Not_Canceled
13,TID31895,website,0.0,group_1,0.0,137.2722690842534,2.0,2.0,1.0,2.0,0.0,0.0,3.0,credit,2019-12-01 00:00:00,id_80,82.02948229565934,Not_Canceled
14,TID16749,website,,group_1,0.0,1.7725877146347837,1.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-08-08 00:00:00,id_13,78.58665050822567,Not_Canceled
15,TID04249,website,0.0,group_4,0.0,79.7545980019538,1.0,0.0,2.0,2.0,0.0,0.0,1.0,debit,2019-12-04 00:00:00,id_78,72.21552848211424,Not_Canceled
16,TID26104,website,0.0,group_1,0.0,10.314641409864477,3.0,2.0,2.0,2.0,0.0,0.0,1.0,debit,2019-08-26 00:00:00,id_53,89.8108654765611,Not_Canceled
17,TID05703,website,0.0,group_1,0.0,24.93581963149452,3.0,1.0,1.0,2.0,0.0,0.0,1.0,debit,2019-09-03 00:00:00,id_43,78.58665050822567,Not_Canceled
18,TID05429,app,0.0,group_4,0.0,9.043647612315183,0.0,2.0,1.0,1.0,0.0,0.0,2.0,debit,2019-10-05 00:00:00,id_71,56.09688344962229,Not_Canceled
19,TID35813,website,0.0,group_4,0.0,51.22105095785007,1.0,1.0,1.0,2.0,0.0,0.0,4.0,debit,2019-08-08 00:00:00,id_92,54.13422561570999,Not_Canceled
20,TID32970,website,,group_1,0.0,66.8354412984588,1.0,1.0,1.0,2.0,0.0,0.0,2.0,debit,2019-08-13 00:00:00,id_85,46.44485977332929,Not_Canceled
21,TID35997,app,0.0,group_1,0.0,31.111035464423605,0.0,1.0,1.0,2.0,0.0,0.0,2.0,debit,2019-08-24 00:00:00,id_50,46.157735510055225,Not_Canceled
22,TID12052,whoosh,1.0,group_1,,2.665214307535937,0.0,1.0,1.0,,0.0,1.0,0.0,debit,2019-11-05 00:00:00,id_51,52.99252167070896,Not_Canceled
23,TID27246,website,0.0,group_1,0.0,11.11388444000979,3.0,0.0,1.0,1.0,0.0,0.0,4.0,debit,2019-10-23 00:00:00,id_10,57.63826422013785,Not_Canceled
24,TID33155,app,0.0,group_1,0.0,35.0845407548294,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-10-09 00:00:00,id_40,46.157735510055225,Not_Canceled
25,TID32135,website,0.0,group_1,0.0,23.529847605144088,1.0,2.0,1.0,2.0,0.0,0.0,1.0,debit,2019-09-09 00:00:00,id_11,83.4286900961829,Not_Canceled
26,TID23139,app,0.0,group_1,0.0,156.4603284169875,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-11-15 00:00:00,id_44,42.40791340221634,Not_Canceled
27,TID17697,whoosh,,group_1,,6.304521130547878,0.0,0.0,1.0,,0.0,4.0,1.0,debit,2019-11-15 00:00:00,id_2,41.8678098117921,Not_Canceled
28,TID13310,website,0.0,group_4,0.0,174.18441457190815,0.0,0.0,1.0,3.0,0.0,0.0,4.0,debit,2019-11-14 00:00:00,id_35,52.846920729760285,Not_Canceled
29,TID05332,website,0.0,group_4,0.0,18.57595591005091,1.0,0.0,1.0,2.0,0.0,0.0,2.0,debit,2019-10-18 00:00:00,id_39,91.07990928464594,Not_Canceled
30,TID34950,whoosh,0.0,group_1,,3.222788107886991,1.0,2.0,1.0,,5.0,51.0,1.0,debit,2019-10-21 00:00:00,id_18,40.78410635535322,Not_Canceled
31,TID23945,website,0.0,group_1,0.0,3.6643580783252654,1.0,1.0,1.0,2.0,0.0,0.0,0.0,debit,2019-08-05 00:00:00,id_60,78.58665050822567,Not_Canceled
32,TID15085,website,0.0,group_4,0.0,1.244790158937935,1.0,1.0,1.0,3.0,0.0,0.0,1.0,debit,2019-12-03 00:00:00,id_46,89.17759412521566,Not_Canceled
33,TID18988,website,0.0,group_1,0.0,117.01240772759576,1.0,2.0,1.0,2.0,0.0,0.0,7.0,debit,2019-11-27 00:00:00,id_36,54.23781652391473,Not_Canceled
34,TID33868,website,0.0,group_1,0.0,20.711513714868364,1.0,1.0,1.0,2.0,0.0,0.0,3.0,credit,2019-11-08 00:00:00,id_96,70.33063239821028,Not_Canceled
35,TID21089,app,0.0,group_1,0.0,34.143911584423,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-09-27 00:00:00,id_27,51.42898851714119,Not_Canceled
36,TID15769,website,0.0,group_4,0.0,85.51472575229312,0.0,0.0,1.0,3.0,0.0,0.0,1.0,debit,2019-08-01 00:00:00,id_33,96.88851087013104,Canceled
37,TID18682,website,0.0,group_1,0.0,174.9313379446626,3.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-10-09 00:00:00,id_43,54.4966494719206,Not_Canceled
38,TID18769,website,0.0,group_1,0.0,54.860944630592016,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-11-02 00:00:00,id_14,55.89083434658451,Not_Canceled
39,TID33469,website,0.0,group_4,0.0,71.01582950551402,1.0,2.0,1.0,3.0,0.0,0.0,5.0,credit,2019-11-10 00:00:00,id_25,92.24177218297022,Canceled
40,TID19460,website,0.0,group_1,0.0,15.207620480374228,0.0,2.0,1.0,2.0,0.0,0.0,3.0,debit,2019-11-29 00:00:00,id_53,43.87128351495704,Not_Canceled
41,TID10876,website,0.0,group_1,0.0,11.427115410243353,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-10-13 00:00:00,id_61,74.18557739342863,Not_Canceled
42,TID14819,website,1.0,group_1,0.0,4.121376779976224,1.0,0.0,2.0,2.0,0.0,0.0,2.0,debit,2019-10-02 00:00:00,id_65,92.97555515328315,Not_Canceled
43,TID02729,website,0.0,group_4,0.0,114.95820383035252,0.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-10-06 00:00:00,id_99,61.41148019017746,Not_Canceled
44,TID07376,website,0.0,group_1,0.0,104.80762474543924,0.0,1.0,2.0,2.0,0.0,0.0,1.0,debit,2019-12-03 00:00:00,id_65,50.40843790620239,Canceled
45,TID17868,website,0.0,group_5,0.0,39.65594186987527,0.0,1.0,1.0,2.0,0.0,0.0,4.0,debit,2019-08-13 00:00:00,id_26,66.85014580358455,Canceled
46,TID20538,website,0.0,group_1,0.0,127.31107495094416,1.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-09-15 00:00:00,id_51,54.79663876765317,Not_Canceled
47,TID03153,website,0.0,group_1,0.0,59.302208347691256,0.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-10-25 00:00:00,id_50,43.87128351495704,Not_Canceled
48,TID03780,app,0.0,group_1,0.0,92.11374655811667,0.0,0.0,1.0,2.0,0.0,0.0,1.0,debit,2019-10-19 00:00:00,id_22,54.03060159521941,Not_Canceled
49,TID10767,website,0.0,group_4,0.0,17.41441976927496,1.0,1.0,1.0,2.0,0.0,0.0,3.0,debit,2019-08-23 00:00:00,id_32,62.03990464131864,Not_Canceled
50,TID17326,website,0.0,group_4,0.0,94.5745156089798,1.0,2.0,1.0,2.0,0.0,0.0,5.0,credit,2019-08-21 00:00:00,id_33,99.84084299196984,Not_Canceled
51,TID20540,website,0.0,group_1,0.0,98.063661214964,2.0,1.0,1.0,2.0,0.0,0.0,1.0,debit,2019-11-12 00:00:00,id_37,55.89083434658451,Not_Canceled
52,TID11906,website,0.0,group_2,0.0,105.8844354781553,2.0,2.0,1.0,2.0,0.0,0.0,1.0,debit,2019-12-02 00:00:00,id_67,54.85867123618451,Not_Canceled
53,TID20622,website,0.0,group_6,0.0,79.77885946815692,1.0,0.0,3.0,2.0,0.0,0.0,2.0,credit,2019-10-19 00:00:00,id_83,111.0959528234409,Canceled
54,TID10540,app,0.0,group_1,0.0,314.7327626047421,0.0,0.0,1.0,2.0,0.0,0.0,2.0,debit,2019-11-09 00:00:00,id_21,33.61475808547042,Not_Canceled
55,TID24140,website,,group_4,0.0,25.954240420220906,1.0,1.0,1.0,1.0,0.0,0.0,1.0,debit,2019-11-12 00:00:00,id_14,52.87812656200835,Not_Canceled
56,TID10956,app,0.0,group_1,0.0,79.93999132427545,1.0,0.0,1.0,2.0,0.0,0.0,3.0,debit,2019-11-01 00:00:00,id_39,42.40791340221634,Not_Canceled
57,TID35174,whoosh,0.0,group_1,,0.3744095248425906,1.0,1.0,1.0,,0.0,11.0,0.0,debit,2019-10-29 00:00:00,id_55,40.78410635535322,Not_Canceled
58,TID12655,website,0.0,group_1,0.0,10.27863244497954,0.0,0.0,1.0,1.0,0.0,0.0,1.0,debit,2019-10-18 00:00:00,id_69,69.24335323600516,Not_Canceled
